,img_path,file,src_age,src_gender,src_race,src_timestamp,pred_race,pred_gender,pred_age_grp,pred_age_lower,pred_age_upper,pred_model
0,crop_part1/9_1_2_20161219204347420.jpg.chip.jpg,9_1_2_20161219204347420.jpg.chip.jpg,9,Female,Asian,2.01612E+16,Asian,Female,20-29,20,29,FairFace
1,crop_part1/1_1_2_20161219154612988.jpg.chip.jpg,1_1_2_20161219154612988.jpg.chip.jpg,1,Female,Asian,2.01612E+16,White,Female,0-2,0,2,FairFace
2,crop_part1/16_0_0_20170104003740977.jpg.chip.jpg,16_0_0_20170104003740977.jpg.chip.jpg,16,Male,White,2.01701E+16,White,Male,19-Oct,10,19,FairFace
3,crop_part1/1_1_3_20161219230734016.jpg.chip.jpg,1_1_3_20161219230734016.jpg.chip.jpg,1,Female,Indian,2.01612E+16,Other,Male,0-2,0,2,FairFace
4,crop_part1/26_1_1_20170103181931657.jpg.chip.jpg,26_1_1_20170103181931657.jpg.chip.jpg,26,Female,Black,2.01701E+16,Black,Female,30-39,30,39,FairFace
5,crop_part1/2_0_2_20161219141650121.jpg.chip.jpg,2_0_2_20161219141650121.jpg.chip.jpg,2,Male,Asian,2.01612E+16,Asian,Female,0-2,0,2,FairFace
6,crop_part1/53_1_0_20170110143534851.jpg.chip.jpg,53_1_0_20170110143534851.jpg.chip.jpg,53,Female,White,2.01701E+16,White,Female,40-49,40,49,FairFace
7,crop_part1/36_1_4_20170104172843788.jpg.chip.jpg,36_1_4_20170104172843788.jpg.chip.jpg,36,Female,Other,2.01701E+16,Other,Female,30-39,30,39,FairFace
8,crop_part1/37_0_0_20170104205628245.jpg.chip.jpg,37_0_0_20170104205628245.jpg.chip.jpg,37,Male,White,2.01701E+16,White,Male,30-39,30,39,FairFace
9,crop_part1/10_0_1_20170110223848885.jpg.chip.jpg,10_0_1_20170110223848885.jpg.chip.jpg,10,Male,Black,2.01701E+16,Other,Male,9-Mar,3,9,FairFace
10,crop_part1/1_0_2_20161219205313061.jpg.chip.jpg,1_0_2_20161219205313061.jpg.chip.jpg,1,Male,Asian,2.01612E+16,Asian,Male,0-2,0,2,FairFace
11,crop_part1/52_0_0_20170104212337021.jpg.chip.jpg,52_0_0_20170104212337021.jpg.chip.jpg,52,Male,White,2.01701E+16,White,Male,40-49,40,49,FairFace
12,crop_part1/18_1_0_20170109212830216.jpg.chip.jpg,18_1_0_20170109212830216.jpg.chip.jpg,18,Female,White,2.01701E+16,Other,Female,20-29,20,29,FairFace
13,crop_part1/34_1_3_20170104235537715.jpg.chip.jpg,34_1_3_20170104235537715.jpg.chip.jpg,34,Female,Indian,2.01701E+16,Other,Female,30-39,30,39,FairFace
14,crop_part1/34_1_4_20170103230336761.jpg.chip.jpg,34_1_4_20170103230336761.jpg.chip.jpg,34,Female,Other,2.01701E+16,Other,Female,30-39,30,39,FairFace
15,crop_part1/34_1_0_20170104174537956.jpg.chip.jpg,34_1_0_20170104174537956.jpg.chip.jpg,34,Female,White,2.01701E+16,White,Female,20-29,20,29,FairFace
