,img_path,file,src_age,src_gender,src_race,src_timestamp,pred_race,pred_gender,pred_age_grp,pred_age_lower,pred_age_upper,pred_model
0,part1/9_1_2_20161219204347420.jpg,9_1_2_20161219204347420.jpg,9,Female,Asian,2.01612E+16,White,Male,30-39,30,39,FairFace
1,part1/1_1_2_20161219154612988.jpg,1_1_2_20161219154612988.jpg,1,Female,Asian,2.01612E+16,White,Male,20-29,20,29,FairFace
2,part1/16_0_0_20170104003740977.jpg,16_0_0_20170104003740977.jpg,16,Male,White,2.01701E+16,White,Male,19-Oct,10,19,FairFace
3,part1/1_1_3_20161219230734016.jpg,1_1_3_20161219230734016.jpg,1,Female,Indian,2.01612E+16,Asian,Male,9-Mar,3,9,FairFace
4,part1/26_1_1_20170103181931657.jpg,26_1_1_20170103181931657.jpg,26,Female,Black,2.01701E+16,Black,Female,30-39,30,39,FairFace
5,part1/2_0_2_20161219141650121.jpg,2_0_2_20161219141650121.jpg,2,Male,Asian,2.01612E+16,Asian,Male,9-Mar,3,9,FairFace
6,part1/53_1_0_20170110143534851.jpg,53_1_0_20170110143534851.jpg,53,Female,White,2.01701E+16,White,Female,40-49,40,49,FairFace
7,part1/36_1_4_20170104172843788.jpg,36_1_4_20170104172843788.jpg,36,Female,Other,2.01701E+16,Asian,Female,20-29,20,29,FairFace
8,part1/37_0_0_20170104205628245.jpg,37_0_0_20170104205628245.jpg,37,Male,White,2.01701E+16,White,Male,20-29,20,29,FairFace
9,part1/10_0_1_20170110223848885.jpg,10_0_1_20170110223848885.jpg,10,Male,Black,2.01701E+16,White,Male,20-29,20,29,FairFace
10,part1/1_0_2_20161219205313061.jpg,1_0_2_20161219205313061.jpg,1,Male,Asian,2.01612E+16,White,Female,20-29,20,29,FairFace
11,part1/52_0_0_20170104212337021.jpg,52_0_0_20170104212337021.jpg,52,Male,White,2.01701E+16,Other,Male,30-39,30,39,FairFace
12,part1/18_1_0_20170109212830216.jpg,18_1_0_20170109212830216.jpg,18,Female,White,2.01701E+16,White,Female,20-29,20,29,FairFace
13,part1/34_1_3_20170104235537715.jpg,34_1_3_20170104235537715.jpg,34,Female,Indian,2.01701E+16,Asian,Female,20-29,20,29,FairFace
14,part1/34_1_4_20170103230336761.jpg,34_1_4_20170103230336761.jpg,34,Female,Other,2.01701E+16,Asian,Male,20-29,20,29,FairFace
15,part1/34_1_0_20170104174537956.jpg,34_1_0_20170104174537956.jpg,34,Female,White,2.01701E+16,Black,Female,70-130,70,130,FairFace
16,part1/30_0_0_20170104000150443.jpg,30_0_0_20170104000150443.jpg,30,Male,White,2.01701E+16,Asian,Male,20-29,20,29,FairFace
17,part1/75_1_3_20170110175327928.jpg,75_1_3_20170110175327928.jpg,75,Female,Indian,2.01701E+16,Asian,Male,20-29,20,29,FairFace
18,part1/24_1_2_20170104020224692.jpg,24_1_2_20170104020224692.jpg,24,Female,Asian,2.01701E+16,Asian,Female,20-29,20,29,FairFace
